.Device.DeviceId,Start_time_time,Start_time_decimal,Duration,Decimal_Duration,Terminal,
b8D,5:42,0.24,1:32,0.06,A,
b8D,8:44,0.36,2:18,0.10,A,
b8D,13:39,0.57,1:01,0.04,A,
b8D,5:34,0.23,1:38,0.07,A,
b8D,9:08,0.38,1:07,0.05,A,
b8D,7:15,0.30,1:12,0.05,A,
b8D,10:35,0.44,1:00,0.04,A,
b8D,13:17,0.55,1:11,0.05,A,
b8D,5:28,0.23,1:37,0.07,A,
b8D,10:46,0.45,1:26,0.06,A,
b8D,5:05,0.21,1:21,0.06,A,
b8D,7:51,0.33,1:25,0.06,A,
b8D,11:48,0.49,3:23,0.14,A,
b8D,6:25,0.27,2:31,0.10,A,
b8D,7:47,0.32,1:59,0.08,A,
b8D,11:38,0.48,2:15,0.09,A,
b8D,11:23,0.47,1:11,0.05,A,
b8D,8:22,0.35,1:03,0.04,A,
b8D,5:13,0.22,1:13,0.05,A,
b8D,7:57,0.33,1:24,0.06,A,
b8D,14:30,0.60,1:23,0.06,A,
b8D,9:49,0.41,1:11,0.05,A,
b8D,13:42,0.57,1:00,0.04,A,
b8D,4:55,0.20,1:29,0.06,A,
b8D,11:38,0.48,1:26,0.06,A,
b8D,12:05,0.50,1:13,0.05,A,
b8D,5:20,0.22,1:07,0.05,A,
b8D,11:49,0.49,1:06,0.05,A,
b8D,11:36,0.48,1:32,0.06,A,
b8D,5:28,0.23,1:30,0.06,A,
b8D,8:09,0.34,1:07,0.05,A,
b99,8:58,0.37,1:09,0.05,B,
b99,13:14,0.55,1:07,0.05,B,
b8,13:27,0.56,1:08,0.05,D,
b8,13:16,0.55,2:33,0.11,D,
bC7,9:25,0.39,1:41,0.07,D,
bC7,18:49,0.78,1:23,0.06,D,
bC7,8:47,0.37,1:05,0.05,F,
bC7,19:04,0.79,1:05,0.05,D,
bC7,18:51,0.79,1:01,0.04,D,
b97,12:14,0.51,3:10,0.13,D,
bA4,15:07,0.63,1:10,0.05,D,
bA4,11:28,0.48,1:16,0.05,D,
bA4,18:41,0.78,1:16,0.05,D,
bA5,15:48,0.66,1:39,0.07,F,
bA5,11:44,0.49,1:14,0.05,J,
bA5,8:53,0.37,1:25,0.06,F,
bA5,6:45,0.28,1:10,0.05,D,
bA5,10:31,0.44,1:26,0.06,F,
bA5,12:38,0.53,1:24,0.06,F,
bA5,9:14,0.38,1:35,0.07,J,
bA5,19:19,0.80,11:00,0.46,F,
bA5,10:51,0.45,1:01,0.04,J,
bA5,14:55,0.62,1:16,0.05,F,
bA5,10:24,0.43,1:24,0.06,J,
bA5,11:52,0.49,1:29,0.06,D,
bA5,8:03,0.34,1:05,0.05,F,
bA5,12:36,0.53,1:30,0.06,D,
bA5,9:06,0.38,1:24,0.06,F,
bA5,12:29,0.52,1:28,0.06,F,
bA5,8:04,0.34,1:33,0.06,J,
bA5,7:48,0.33,1:10,0.05,F,
bA5,11:13,0.47,1:18,0.05,F,
bA5,7:19,0.30,7:40,0.32,D,
bC,8:12,0.34,1:14,0.05,E,
bC,8:37,0.36,1:34,0.07,E,
bC,9:03,0.38,1:16,0.05,E,
bC,8:45,0.36,2:12,0.09,E,
bC,9:41,0.40,1:05,0.05,G,
b80,7:04,0.29,1:13,0.05,G,
b80,6:56,0.29,1:11,0.05,G,
b80,15:04,0.63,1:06,0.05,G,
b23,7:36,0.32,1:02,0.04,G,
b23,14:45,0.61,1:01,0.04,G,
b23,11:50,0.49,1:02,0.04,G,
b23,7:34,0.32,1:00,0.04,G,
b23,8:00,0.33,1:01,0.04,G,
b23,12:16,0.51,1:01,0.04,G,
b23,15:12,0.63,1:31,0.06,G,
b23,7:07,0.30,1:00,0.04,G,
b23,10:17,0.43,1:14,0.05,G,
b23,11:43,0.49,1:14,0.05,G,
b23,11:49,0.49,1:20,0.06,G,
b23,7:56,0.33,1:03,0.04,J,
bCB,10:25,0.43,1:16,0.05,I,
b70,8:41,0.36,1:20,0.06,E,
b46,8:30,0.35,1:11,0.05,E,
b46,7:33,0.31,1:07,0.05,E,
b46,9:02,0.38,2:22,0.10,E,
b46,8:43,0.36,2:33,0.11,E,
b21,10:12,0.43,1:15,0.05,G,
b21,10:58,0.46,1:05,0.05,G,
b21,7:50,0.33,1:10,0.05,G,
b21,9:42,0.40,1:04,0.04,G,
